SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,Population,Plant,Top or Bottom,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
1,12:10:22,2025-03-28,Petal_2025_low,glb and ks,,Pt. Conception,1,Top,0.001950072,1.90136432,0.001948074,0.017389966,1.237689,1.236726,2.127955351,0.890266351,12.195572,12.205070,20.98368358,0.4417875,7.500000,56.32,56.28,18.94,18.43,18.43,101.41,79.9,79.8,0.1,164,4.141,12:10:06,2025-03-28,-0.57,1,-0.000,-0.001,-0.003,-0.017,-0.033,-0.079,1,75,0.001,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.490726,2.529711,1.062626,0.757644,0.347634,-0.004699,0.049523,0.251111,48.052311,0.000142,2.400461,-0.000053,1.000000,2.435166,-0.000058,1.000000,0.601058,0.603298,0.107219,0.000000,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-03-08T00:27:09.674Z
2,12:10:38,2025-03-28,Petal_2025_low,glb and ks,,Pt. Conception,1,Bottom,0.002471293,1.89768888,0.002468079,0.023677292,1.248865,1.247551,2.205180478,0.956315478,12.302202,12.315165,21.74519749,0.4417875,7.500000,56.76,56.70,18.96,19.00,19,101.41,79.7,79.2,0.6,20,4.134,12:10:06,2025-03-28,-0.57,1,0.000,-0.000,-9999.000,-0.016,-0.026,-9999.000,1,75,0.001,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.491302,2.530333,1.060964,0.756269,0.347351,0.001472,0.050987,0.124378,47.568439,0.000135,2.400461,-0.000053,1.000000,2.435166,-0.000058,1.000000,0.601058,0.603298,0.107219,0.000000,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-03-08T00:27:09.674Z
1,12:21:15,2025-03-28,Petal_2025_low,glb and ks,,Pt. Conception,15,Top,4.74287E-06,1.89768888,4.74286E-06,3.28845E-05,1.269975,1.269973,1.961880977,0.691905977,12.524943,12.524961,19.34793863,0.4417875,7.500000,57.45,57.45,19.04,17.14,17.14,101.40,79.7,79.5,0.2,180,4.132,12:19:42,2025-03-28,-0.44,1,-0.001,-0.001,-9999.000,-0.013,-0.024,-9999.000,1,75,0.001,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.492319,2.531106,1.061440,0.757073,0.346308,-0.019909,0.140822,0.264602,64.412354,0.000134,2.400461,-0.000053,1.000000,2.435166,-0.000058,1.000000,0.601058,0.603298,0.107219,0.000000,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-03-08T00:27:09.674Z
2,12:21:34,2025-03-28,Petal_2025_low,glb and ks,,Pt. Conception,15,Bottom,0.006559651,1.884782,0.0065369,0.046884752,1.268845,1.266219,1.984348666,0.715503666,12.488295,12.514186,19.5714436,0.4417875,7.500000,57.64,57.52,18.97,17.32,17.32,101.39,79.0,80.0,-1.3,80,4.123,12:19:42,2025-03-28,-0.44,1,-0.000,0.000,0.001,-0.009,-0.023,-0.052,1,75,0.001,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.492435,2.531398,1.056507,0.758120,0.347254,-0.017229,0.142180,0.177699,63.912392,0.000133,2.400461,-0.000053,1.000000,2.435166,-0.000058,1.000000,0.601058,0.603298,0.107219,0.000000,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-03-08T00:27:09.674Z
3,12:31:42,2025-03-28,Petal_2025_low,glb and ks,,Pt. Conception,2,Top,6.45838E-05,1.89216552,6.45816E-05,0.000555032,1.255998,1.255967,2.11332842,0.85733042,12.381442,12.381747,20.8332849,0.4417875,7.500000,55.77,55.77,19.34,18.32,18.32,101.44,79.4,79.9,-0.6,1304,4.122,12:31:32,2025-03-28,-0.45,1,-0.001,0.001,-9999.000,-0.001,-0.008,-9999.000,1,75,0.001,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.489929,2.528647,1.059145,0.757752,0.342175,-0.010379,0.186324,1.250014,58.365940,0.000135,2.400461,-0.000053,1.000000,2.435166,-0.000058,1.000000,0.601058,0.603298,0.107219,0.000000,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-03-08T00:27:09.674Z
4,12:31:57,2025-03-28,Petal_2025_low,glb and ks,,Pt. Conception,2,Bottom,0.003990159,1.9032,0.003981811,0.036394805,1.253970,1.251956,2.165588888,0.911618888,12.342419,12.362269,21.3484709,0.4417875,7.500000,55.68,55.59,19.34,18.71,18.71,101.44,80.0,79.6,0.5,222,4.118,12:31:32,2025-03-28,-0.45,1,0.000,0.001,-9999.000,-0.007,-0.008,-9999.000,1,75,0.001,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.489684,2.528519,1.063212,0.757273,0.342179,-0.006039,0.187256,0.301427,58.242916,0.000134,2.400461,-0.000053,1.000000,2.435166,-0.000058,1.000000,0.601058,0.603298,0.107219,0.000000,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-03-08T00:27:09.674Z
5,12:34:51,2025-03-28,Petal_2025_low,glb and ks,,Pt. Conception,3,Top,0.023399672,1.89032168,0.023113556,0.254325726,1.272307,1.258115,2.368499283,1.096192283,12.403010,12.542920,23.34877053,0.4417875,7.500000,55.88,55.26,19.51,20.15,20.15,101.44,79.3,79.9,-0.8,986,4.119,12:31:32,2025-03-28,-0.45,1,-0.000,-0.001,-9999.000,-0.002,-0.004,-9999.000,1,75,0.001,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.489184,2.528767,1.058283,0.757897,0.339778,0.008073,0.198165,0.971996,57.009815,0.000133,2.400461,-0.000053,1.000000,2.435166,-0.000058,1.000000,0.601058,0.603298,0.107219,0.000000,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-03-08T00:27:09.674Z
6,12:35:06,2025-03-28,Petal_2025_low,glb and ks,,Pt. Conception,3,Bottom,0.009624558,1.89584912,0.009575944,0.110861154,1.272231,1.266070,2.42474665,1.15251565,12.485931,12.546688,23.91268886,0.4417875,7.500000,55.67,55.40,19.57,20.53,20.53,101.40,79.6,79.9,-0.3,1243,4.114,12:31:32,2025-03-28,-0.45,1,0.000,-0.000,-9999.000,-0.003,-0.003,-9999.000,1,75,0.001,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.489364,2.528446,1.060683,0.757716,0.338951,0.011733,0.199187,1.196906,56.919334,0.000141,2.400461,-0.000053,1.000000,2.435166,-0.000058,1.000000,0.601058,0.603298,0.107219,0.000000,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-03-08T00:27:09.674Z
7,12:41:21,2025-03-28,Petal_2025_low,glb and ks,,Pt. Conception,13,Top,0.003766798,1.89216552,0.003759314,0.038145113,1.272301,1.270175,2.283432555,1.011131555,12.522465,12.543423,22.51239826,0.4417875,7.500000,55.57,55.48,19.60,19.56,19.56,101.43,79.4,80.0,-0.7,481,4.114,12:31:32,2025-03-28,-0.45,1,0.000,0.001,-0.002,-0.004,-0.002,-0.003,1,75,0.001,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.489468,2.528300,1.059395,0.757978,0.338558,0.000438,0.221718,0.528780,54.555416,0.000143,2.400461,-0.000053,1.000000,2.435166,-0.000058,1.000000,0.601058,0.603298,0.107219,0.000000,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-03-08T00:27:09.674Z
8,12:42:12,2025-03-28,Petal_2025_low,glb and ks,,Pt. Conception,13,Bottom,0.001751724,1.89768888,0.001750109,0.018227843,1.274188,1.273176,2.311963707,1.037775707,12.552570,12.562547,22.79368734,0.4417875,7.500000,55.42,55.38,19.67,19.76,19.76,101.43,79.7,79.6,0.2,193,4.108,12:41:49,2025-03-28,-0.48,1,0.000,-0.000,-9999.000,-0.000,-0.003,-9999.000,1,75,0.001,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.489311,2.528114,1.061482,0.757213,0.337639,0.001970,0.225111,0.276165,54.393410,0.000137,2.400461,-0.000053,1.000000,2.435166,-0.000058,1.000000,0.601058,0.603298,0.107219,0.000000,,PFA-00225,PSA-00237,,RHS-00303,3.0.0,2025-03-08T00:27:09.674Z
